name	strunz_mindat_number
Abellaite	5.BE.X
Abelsonite	10.CA.20
Abenakiite-(Ce)	9.CK.10
Abernathyite	8.EB.15
Abhurite	3.DA.30
Abramovite	2.HF.25a
Abswurmbachite	9.AG.05
Abuite	
Acanthite	2.BA.35
Acetamide	10.AA.20
Achalaite	
Achavalite	2.CC.05
Achyrophanite	8.BF.30
Acmonidesite	
Actinolite	9.DE.10
Acuminite	3.CC.10
Adachiite	
Adamite	8.BB.30
Adamsite-(Y)	5.CC.30
Adanite	
Addibischoffite	
Adelite	8.BH.35
Admontite	6.FA.15
Adolfpateraite	
Adranosite	
Adranosite-(Fe)	
Adrianite	
Aegirine	9.DA.25
Aegirine-augite	9.DA.20
Aenigmatite	9.DH.40
Aerinite	9.DB.45
Aerugite	8.BC.15
Aeschynite-(Ce)	4.DF.05
Aeschynite-(Nd)	4.DF.05
Aeschynite-(Y)	4.DF.05
Afghanite	9.FB.05
Afmite	8.DD.15
Afwillite	9.AG.75
Agaite	
Agakhanovite-(Y)	
Agardite-(Ce)	8.DL.15
Agardite-(La)	8.DL.15
Agardite-(Nd)	8.DL.15
Agardite-(Y)	8.DL.15
Agmantinite	
Agrellite	9.DH.75
Agricolaite	5.ED.50
Agrinierite	4.GB.05
Aguilarite	2.BA.55
Aheylite	8.DD.15
Ahlfeldite	4.JH.10
Ahrensite	
Aikinite	2.HB.05a
Aiolosite	7.BD.20
Airdite	
Ajoite	9.EA.70
Akaganeite	4.DK.05
Akaogiite	
Akatoreite	9.BH.15
Akdalaite	4.FL.70
Akermanite	9.BB.10
Akhtenskite	4.DB.15b
Akimotoite	4.CB.05
Aklimaite	
Akopovaite	5.DA.55
Akrochordite	8.DD.10
Aksaite	6.FA.05
Aktashite	2.GA.30
Alabandite	2.CD.10
Alacranite	2.FA.20
Alamosite	9.DO.20
Alarsite	8.AA.05
Albertiniite	4.JE.X
Albite	9.FA.35
Albrechtschraufite	5.ED.15
Alburnite	
Alcantarillaite	8.DM.60
Alcaparrosaite	
Aldermanite	8.DM.35
Aldomarinoite	
Aldridgeite	
Aleksandrovite	9.CJ.25
Aleksite	2.GC.40a
Aleutite	8.BB.50
Alexkhomyakovite	
Alexkuznetsovite-(Ce)	
Alexkuznetsovite-(La)	9.BE.82
Alflarsenite	
Alforsite	8.BN.05
Alfredcasparite	
Alfredopetrovite	7.CA.X
Alfredstelznerite	
Algodonite	2.AA.10a
Alicewilsonite-(YCe)	
Alicewilsonite-(YLa)	
Aliettite	9.EC.60
Allabogdanite	1.BD.15
Allactite	8.BE.30
Allanite-(Ce)	9.BG.05b
Allanite-(La)	9.BG.05b
Allanite-(Nd)	9.BG.05b
Allanite-(Y)	9.BG.05b
Allanpringite	8.DC.50
Allantoin	
Allargentum	2.AA.30
Alleghanyite	9.AF.45
Allendeite	
Allochalcoselite	4.JG.40
Alloclasite	2.EB.10b
Allophane	9.ED.20
Alloriite	9.FB.05
Alluaivite	9.CO.10
Alluaudite	8.AC.10
Almandine	9.AD.25
Almarudite	9.CM.05
Almeidaite	
Alnaperboeite-(Ce)	
Alpeite	9.BJ.40
Alpersite	7.CB.35
Alsakharovite-Zn	9.CE.30h
Alstonite	5.AB.35
Altaite	2.CD.10
Alterite	7.DE.42
Althausite	8.BB.25
Althupite	8.EC.25
Altisite	9.DP.40
Alum-(K)	7.CC.20
Alum-(Na)	7.CC.20
Aluminite	7.DC.05
Aluminium	1.AA.05
Alumino-ferrobarroisite	
Alumino-ferrohornblende	
Alumino-ferrotschermakite	
Alumino-ferrowinchite	
Alumino-magnesiohornblende	
Alumino-magnesiotaramite	
Alumino-ottoliniite	
Alumino-oxy-rossmanite	
Aluminobarroisite	
Aluminoceladonite	9.EC.15
Aluminocerite-(CeCa)	9.AG.20
Aluminocopiapite	7.DB.35
Aluminocoquimbite	7.CB.50
Aluminokatophorite	
Aluminomagnesiohulsite	6.AB.45
Aluminopyracmonite	
Aluminosugilite	9.CM.9.CM.
Aluminotaipingite-(CeCa)	
Aluminotschermakite	
Aluminowinchite	
Alumoakermanite	9.BB.10
Alumoedtollite	
Alumohydrocalcite	5.DB.05
Alumoklyuchevskite	7.BC.45
Alumolukrahnite	
Alumotantite	4.DB.55
Alumotungstite	4.DH.15 va
Alumovesuvianite	
Alunite	7.BC.10
Alunogen	7.CB.45
Alvanite	8.FE.05
Alvesite	
Alwilkinsite-(Y)	
Amakinite	4.FE.05
Amamoorite	9.BE.07
Amarantite	7.DB.30
Amarillite	7.CC.75
Amblygonite	8.BB.05
Ambrinoite	2.HE.10
Ameghinite	6.CA.10
Amesite	9.ED.15
Amgaite	
Amicite	9.GC.05
Aminoffite	9.BH.05
Ammineite	
Ammonioalunite	7.BC.10
Ammonioborite	6.EA.15
Ammoniojarosite	7.BC.10
Ammoniolasalite	
Ammonioleucite	9.GB.05
Ammoniomagnesiovoltaite	7.CC.25
Ammoniomathesiusite	
Ammoniotinsleyite	
Ammoniovoltaite	
Ammoniozippeite	7.EC.05
Amoraite	
Amstallite	9.DP.25
Analcime	9.GB.05
Anandite	9.EC.35
Anapaite	8.CH.10
Anastasenkoite	
Anatacamite	
Anatase	4.DD.05
Anatolyite	8.AC.47
