"name","name_type","name_subtype","variety_of_name"
"""Herkimer-style"" Quartz",Variety,,Quartz
"""Kashmir"" Sapphire",Variety,,Sapphire
"(Nb,Fe)-substituted anatase",Variety,,Anatase
Absite,Variety,,Brannerite
Acarbodavyne,Variety,,Davyne
Achroite,Variety,,Tourmaline
Adamantine Spar,Variety,,Corundum
Adamsite,Variety,,Muscovite
Adlerstein,Variety,,Bean Ore
Adularia,Variety,,K Feldspar
Aeroides,Variety,,Beryl
Agaphite,Variety,,Turquoise
Agate,Variety,,Chalcedony
Agate-Jasper,Variety,,Agate
Agathacopalite,Variety,,Copal
Agatized coral,Variety,,Agate
Aglaurite,Variety,,Orthoclase
Ainalite,Variety,,Cassiterite
Al-Antigorite,Variety,,Antigorite
Al-illite-hydromica,Variety,,Illite
Al-lizardite,Variety,,Lizardite
Al-pyroxene,Variety,,Pyroxene Group
Alabaster,Variety,,Gypsum
Albertite,Variety,,Bitumen
Albite Moonstone,Variety,,Peristerite
Aldanite,Variety,,Thorianite
Alexandrite,Variety,,Chrysoberyl
Algerite,Variety,,Meionite
Alkali-beryl,Variety,,Beryl
Alkali-femaghastingsite,Variety,,Hastingsite
Alkali-ferrohastingsite,Variety,,Hastingsite
Alkali-oxyapatite,Variety,,Hydroxylapatite
Alkali-spinel,Variety,,Spinel
Alladinite,Variety,,Jasper
Allanite-Epidote,Variety,,Epidote
Allophane-evansite,Variety,,Allophane
Almandine Spinel,Variety,,Spinel
Almashite,Variety,,Amber
Alpha-Wiikite,Variety,,Wiikite
Aluminian Britholite,Variety,,Britholite-(Ce)
Aluminian Chromite,Variety,,Chromite
Aluminian Chrysocolla,Variety,,Chrysocolla
Aluminian Chrysotile,Variety,,Chrysotile
Aluminian Ferrian Chrysocolla,Variety,,Chrysocolla
Aluminian Ferroanthophyllite,Variety,,Ferro-anthophyllite
Aluminian Hisingerite,Variety,,Hisingerite
Aluminian nontronite,Variety,,Nontronite
Aluminian Scorodite,Variety,,Scorodite
Aluminian Strengite,Variety,,Strengite
Aluminium Montmorillonite,Variety,,Beidellite
Aluminium Spinel,Variety,,Spinel
Aluminium-bearing Adamite,Variety,,Adamite
Aluminium-glauconite,Variety,,Glauconite
Aluminium-saponite,Variety,,Saponite
Aluminium-sepiolite,Variety,,Sepiolite
Aluminobetafite (of Kawai),Variety,,Pyrochlore Group
Aluminous Coquimbite,Variety,,Coquimbite
Aluminous Magnetite,Variety,,Magnetite
Aluminum Tosudite,Variety,,Tosudite
Alumo-aeschynite,Variety,,Aeschynite
Alumo-chalcosiderite,Variety,,Chalcosiderite
Alumo-chrompicotite,Variety,,Picrochromite
Alumoberezovite,Variety,,Chromite
Alumocalcite,Variety,,Opal
Alumodeweylite,Variety,,Montmorillonite
Alumogoethite,Variety,,Goethite
Alumohematite,Variety,,Hematite
Alumolimonite,Variety,,Limonite
Alumoludwigite,Variety,,Ludwigite
Alumolyndochite,Variety,,Aeschynite-(Ce)
Alumomaghemite,Variety,,Maghemite
Alumomelanocerite,Variety,,Melanocerite-(Ce)
Alumospencite,Variety,,Tritomite-(Y)
Alundum,Variety,,Corundum
Alurgite,Variety,,Muscovite
Alushtite,Variety,,Tosudite
Alvite,Variety,,Zircon
Amarillo Stone,Variety,,Chalcedony
Amatite,Variety,,Opal
Amazonite,Variety,,Microcline
Amber Opal,Variety,,Opal
Amberine,Variety,,Chalcedony
Ambrite,Variety,,Retinite
Ambrosine,Variety,,Amber
Améthiste Basaltine (of Egleston),Variety,,Beryl
Améthiste Basaltine (of Sage),Variety,,Apatite
Amethyst,Variety,,Quartz
Ametrine,Variety,,Quartz
Ammersooite,Variety,,Illite
Ammolite,Variety,,Aragonite
Ammonian Metavoltine,Variety,,Metavoltine
Ammonium-Aphthitalite,Variety,,Aphthitalite
amorphous graphite,Variety,,Graphite
Amosite,Variety,,Grunerite
Analbite (of Winchell),Variety,,Anorthoclase
Andara,Variety,,Glass
Andean Opal,Variety,,Opal
Andenopal,Variety,,Opal
Andes Jade,Variety,,Antigorite
Andesine,Variety,,Albite
Angelite,Variety,,Anhydrite
Angels Wing Calcite,Variety,,Calcite
Angleso-barite,Variety,,Baryte
Annivite,Variety,,Tennantite Subgroup
Anomite,Variety,,Biotite
Anophorite,Variety,,Magnesio-arfvedsonite
Anorthoclase,Variety,,Albite
Anorthoclase-Sanidine,Variety,,Anorthoclase
Antimonial Silver,Variety,,Silver
Antimony-bearing Bismuth,Variety,,Bismuth
Antimony-bearing Bismuthinite,Variety,,Bismuthinite
Antimony-bearing Claudetite,Variety,,Claudetite
Antimony-bearing Cosalite,Variety,,Cosalite
Antimony-bearing Kobellite,Variety,,Kobellite
Antimony-bearing Silver,Variety,,Silver
Antimony-bearing Tulameenite,Variety,,Tulameenite
Antimony-bearing Westerveldite,Variety,,Westerveldite
Antiperthite,Variety,,Feldspar Group
Apatized Wood,Variety,,Apatite
Apricotine,Variety,,Quartz
Apthonite,Variety,,Tetrahedrite Subgroup
Aquamarine,Variety,,Beryl
Aquaprase,Variety,,Chalcedony
Aragonite Satin Spar,Variety,,Aragonite
Argentine,Variety,,Calcite
Argentoaikinite,Variety,,Aikinite
Argentoalgodonite,Variety,,Algodonite
Argentocosalite,Variety,,Cosalite
Argentocuproauride,Variety,,Auricupride
Argentocuproaurite,Variety,,Electrum
Argentocuproaurite-I,Variety,,Argentocuproaurite
Argentocuproaurite-II,Variety,,Argentocuproaurite
Argentocuprocosalite,Variety,,Cosalite
Argentodomeykite,Variety,,Domeykite
Argentogoongarrite,Variety,,Heyrovskýite
Argentonuffieldite,Variety,,Nuffieldite
Arite,Variety,,Breithauptite
Arkansas Candle,Variety,,Quartz
Arkansite,Variety,,Brookite
Arkosite,Variety,,Impsonite
Aromatite,Variety,,Bitumen
Aromite (of Darapsky),Variety,,Epsomite
Arquerite,Variety,,Silver
Arsenantimonfahlerz,Variety,,Tennantite-Tetrahedrite Series
Arsenic-bearing Orthoclase,Variety,,Orthoclase
Arsenic-bearing Pyrite,Variety,,Pyrite
Arsenic-bearing Silver,Variety,,Silver
Arsenic-bearing Vanadinite,Variety,,Vanadinite
Arsenical ferrihydrite,Variety,,Ferrihydrite
Arsenical Tetrahedrite,Variety,,Tetrahedrite Subgroup
Arsenmiargyrite,Variety,,Miargyrite
Arsenofriedelite,Variety,,Friedelite
Arsensulfurite,Variety,,Sulfurite
Arsenuran,Variety,,Uraninite
Arshinovite,Variety,,Zircon
Askanite,Variety,,Montmorillonite
Asparagas Stone,Variety,,Apatite
Asteriated Sapphire,Variety,,Sapphire
Asteroite,Variety,,Augite
Astochite,Variety,,Richterite
Astrolite,Variety,,Muscovite
Atlaserz,Variety,,Malachite
Atopite,Variety,,Roméite Group
Auerbachite,Variety,,Zircon
Aurosmiridium,Variety,,Iridium
Avaite,Variety,,Platinum
Avalite,Variety,,Illite
Avasite,Variety,,Limonite
Aventurine,Variety,,Quartz
Azufrado,Variety,,Nitratine
Azulicite,Variety,,Sanidine
Azurchalcedony,Variety,,Chalcedony
Babel-Quartz,Variety,,Quartz
Bacalite,Variety,,Amber
Bagrationite (of Koksharov),Variety,,Allanite-(Ce)
Baikalite,Variety,,Diopside
Bakerite,Variety,,Datolite
Balas Ruby,Variety,,Spinel
Ball Jasper,Variety,,Jasper
Ballas,Variety,,Diamond
Bandfire Opal,Variety,,Precious Opal
Barian Betafite (of Mironov & Gofman),Variety,,Betafite Group
Baricalcite,Variety,,Calcite
Bariomicrolite (of Hogarth 1977),Variety,,Microlite Group
Barium- and Chromium-bearing Muscovite,Variety,,Muscovite
Barium- and Titanium-bearing Biotite,Variety,,Biotite
Barium-Adularia,Variety,,Adularia
Barium-Albite,Variety,,Plagioclase
Barium-Anorthite (of Nockolds and Zies),Variety,,Anorthite
Barium-bearing Feldspar,Variety,,K Feldspar
Barium-bearing Goyazite,Variety,,Goyazite
Barium-bearing Heulandite,Variety,,Heulandite Subgroup
Barium-bearing magnetoplumbite,Variety,,Magnetoplumbite
Barium-bearing Muscovite,Variety,,Muscovite
Barium-bearing Orthoclase,Variety,,Orthoclase
Barium-bearing phlogopite,Variety,,Phlogopite
Barium-bearing Volborthite,Variety,,Volborthite
Barium-Lamprophyllite,Variety,,Lamprophyllite
Barium-Orthoclase,Variety,,Orthoclase
Barium-rich Celestine,Variety,,Celestine
Barium-Sanidine,Variety,,Sanidine
Barium-Vanadium-Muscovite,Variety,,Muscovite
Barium-zinc Alumopharmocosiderite,Variety,,Pharmacoalumite
Barklyite,Variety,,Ruby
Barleycorn,Variety,,Calcite
Baryt-Hedyphane,Variety,,Hedyphane
Barytbiotite,Variety,,Phlogopite
Baryte Rose,Variety,,Baryte
Barytoanglesite,Variety,,Anglesite
Barytosulfate of Strontian,Variety,,Celestine
Bastinite,Variety,,Hureaulite
Bastite,Variety,,Serpentine Subgroup
Batavite,Variety,,Vermiculite
Batchelorite,Variety,,Muscovite
Batrachite,Variety,,Montmorillonite
Bavalite,Variety,,Chamosite
Bayate,Variety,,Jasper
Beaconite,Variety,,Talc
Bean Ore,Variety,,Limonite
Beaumontite (of Lévy),Variety,,Heulandite-Ca
Beccarite,Variety,,Zircon
Beekite,Variety,,Chalcedony
Befanamite,Variety,,Thortveitite
Bellite,Variety,,Mimetite
Berezovite,Variety,,Phoenicochroite
Berezovskite,Variety,,Chromite
Bergbutter,Variety,,Halotrichite
Bergerit,Variety,,Jasper
Berner Sandstein,Variety,,Greensand
Beryllium-bearing Epidote,Variety,,Epidote
Beryllium-bearing Margarite,Variety,,Margarite
Beryllium-bearing Vesuvianite,Variety,,Vesuvianite
Beryllium-bearingSapphirine,Variety,,Sapphirine
Berzeline (of Necker),Variety,,Haüyne
Beta-Wiikite,Variety,,Wiikite
Beta-Willemite,Variety,,Willemite
Betafite (of Hogarth 1977),Variety,,Pyrochlore Supergroup
Beyrichite,Variety,,Violarite
Bidalotite,Variety,,Gedrite
Binghamite,Variety,,Chalcedony
Binnite (of Des Cloizeaux),Variety,,Tennantite-(Zn)
Bird's Eye Agate,Variety,,Eye Agate
Bismuth- and Lead-bearing Kotulskite,Variety,,Kotulskite
Bismuth- and Palladium-bearing Melonite,Variety,,Melonite
Bismuth-bearing Antimony,Variety,,Antimony
Bismuth-bearing Galena,Variety,,Galena
Bismuth-bearing Gold,Variety,,Gold
Bismuth-bearing Ramdohrite,Variety,,Ramdohrite
Bismuth-bearing Stibarsen,Variety,,Stibarsen
Bismuth-bearing Stibiotantalite,Variety,,Stibiotantalite
Bismuth-bearing Tennantite,Variety,,Tennantite Subgroup
Bismuth-bearing teremkovite ,Variety,,Owyheeite
Bismuth-bearing Tetrahedrite,Variety,,Tetrahedrite Subgroup
Bismutosmaltin,Variety,,Smaltite
Bismutostibiconite,Variety,,Roméite Group
Bitumen,Variety,,Petroleum
Black Hornblende Jade,Variety,,Ferro-hornblende
Black Opal,Variety,,Precious Opal
Blanfordite,Variety,,Aegirine-augite
Blaubleierz,Variety,,Galena
Blaufluss,Variety,,Goldstone
Bleischweif,Variety,,Galena
Bleispiegel,Variety,,Galena
Blister Copper,Variety,,Chalcopyrite
Blue Alexandrite,Variety,,Corundum
Blue Beryl (Maxixe),Variety,,Beryl
Blue Chalcedony,Variety,,Chalcedony
Blue Diopside,Variety,,Diopside
Blue John,Variety,,Fluorite
Blue Lace Agate,Variety,,Agate
Blue Opal,Variety,,Opal
Blue Quartz,Variety,,Quartz
Blue Tiger's Eye,Variety,,Tiger's Eye
Blueite,Variety,,Marcasite
Bone Opal,Variety,,Opal
Bort,Variety,,Diamond
Botryolite,Variety,,Datolite
Botswana Agate,Variety,,Agate
Bouazzerite (of Cailleres),Variety,,Stichtite
Boulder Opal,Variety,,Precious Opal
Bowel Stone,Variety,,Anhydrite
Bowenite,Variety,,Antigorite
Bowlingite,Variety,,Saponite
Brammallite,Variety,,Paragonite
Brandãosite,Variety,,Spessartine
Bravoite,Variety,,Pyrite
Brazilian Emerald,Variety,,Elbaite
Brazilian Sapphire,Variety,,Elbaite
Brecciated Agate,Variety,,Agate
Bredbergite,Variety,,Andradite
Breislakite,Variety,,Vonsenite
Breunnerite,Variety,,Iron-bearing Magnesite
Broggite,Variety,,Bitumen
Brom-bischofite,Variety,,Bischofite
Bromboracit,Variety,,Boracite
Brombotallackite,Variety,,Botallackite
Bromcarnallite,Variety,,Carnallite
Bromian Chlorargyrite,Variety,,Chlorargyrite
Bromian Sylvite,Variety,,Sylvite
Bronzite,Variety,,Enstatite
Brossite,Variety,,Iron-bearing Dolomite
Brunsvigite,Variety,,Chamosite
Bruyerite,Variety,,Calcite
Bucaramangite,Variety,,Retinite
Bucklandite (of Hermann),Variety,,Epidote
Buhrstone,Variety,,Chalcedony
Bull Quartz,Variety,,Quartz
Burmite,Variety,,Amber
Burnt amethyst,Variety,,Amethyst
Byssolite,Variety,,Amphibole Supergroup
Bytownite,Variety,,Anorthite
Ca- and Sr-rich Baryte,Variety,,Baryte
Ca-rich olivine,Variety,,Olivine
Ca-rich Siderite,Variety,,Siderite
Cactus Quartz,Variety,,Quartz
Cadmium-bearing Sphalerite,Variety,,Sphalerite
Cadmium-rich Wurtzite,Variety,,Wurtzite
Caesian Bazzite,Variety,,Bazzite
Caesium Beryl,Variety,,Alkali-beryl
Caesium-bearing Polylithionite,Variety,,Polylithionite
Calcareobarite,Variety,,Baryte
Calcio-duftite,Variety,,Duftite
Calciobetafite (of Mazzi & Munno),Variety,,Pyrochlore Group
Calciocelestine,Variety,,Celestine
Calciogadolinite-(Y),Variety,,Gadolinite-(Y)
Calciolyndochite,Variety,,Aeschynite-(Ce)
Calciothorite,Variety,,Thorite
Calcite Satin Spar,Variety,,Calcite
Calcium-bearing Annabergite,Variety,,Annabergite
Calcium-bearing Elpidite,Variety,,Elpidite
Calcium-bearing Graftonite,Variety,,Graftonite
Calcium-bearing Mimetite,Variety,,Mimetite
Calcium-bearing Pyromorphite,Variety,,Pyromorphite
Calcium-bearing Queitite,Variety,,Queitite
Calcium-bearing Rhodochrosite,Variety,,Rhodochrosite
Calcium-bearing Seidozerite,Variety,,Seidozerite
Calcium-bearing Sérandite,Variety,,Serandite
Calcium-bearing Wulfenite,Variety,,Wulfenite
Calcium-Eisenspessartin,Variety,,Spessartine
Calcium-Gümbelite,Variety,,Hydromuscovite
Calcium-Jarosite,Variety,,Jarosite
Calcium-lazulite,Variety,,Lazulite
Calcium-Montmorillonite,Variety,,Montmorillonite
Calcium-Pharmacosiderite,Variety,,Bariopharmacosiderite
Calyptolite,Variety,,Zircon
Campylite,Variety,,Mimetite
Canaanite,Variety,,Diopside
Cape Asbestos,Variety,,Crocidolite
Cape May Diamond,Variety,,Quartz
Capillitite,Variety,,Rhodochrosite
Caporcianite,Variety,,Laumontite
Capped Quartz,Variety,,Quartz
