catalog_number,location
91,"Bolzano, Italy"
92,"Island Elba, Italy"
93,"Auvergne, France"
96,"Fleimstal, Tirol, Italy"
98,"Liebenstein, Bohemia, Czechoslovakia"
99,"Skas Fjell, Tordal, Norway"
100,"Charlottesville, Virginia, USA"
101,"Tunaberg, Sweden"
102,"Turtula, Torno, Finland"
103,"Frederiksvärn, Norway"
105,Norway
106,"Cornwall, United Kingdom"
107,"Stokö near Brevig, Langesund, Norway"
108,"Marianske, Bohemia, Czechoslovakia"
109,Petshan
110,"Arendal, Norway"
111,"Bohemia, Czechoslovakia"
112,"Karlovy Vary (Karlsbad), Bohemia, Czechoslovakia"
15132,"Amberg, Bavaria, Germany"
15133,"Windisch-Kappel, Kärnten, Austria"
15134,"Mine Hausbaden, Badenweiler, Schwarzwald, Germany"
15135,"Hofsgrund, Schauinsland, Schwarzwald, Germany"
15136,"Keswick, Cumberland, United Kingdom"
15137,"Ober-Lahnstein, Germany"
15138,"Slavkow (= Schlaggenwald), Bohemia, Czechoslovakia"
15139,"Hofsgrund, Schauinsland, Freiburg, Baden-Württemberg, Germany"
15141,"Mies, Bohemia, Czechoslovakia"
15145,"Badenweiler, Freiburg, Baden-Württemberg, Germany"
15149,"Phoenixville, Pennsylvania, USA"
15150,"Prado Bahia, Brazil"
15151,"Fontainebleau, France"
15152,"Tolfa near Civitavecchia, Italy"
15153,Shaft Marie near Staffelfelden
15154,"Westfalen, Germany"
15155,"Oklahoma, USA"
15156,"Tintic Standard Mine, Utah, USA"
15157,"Monte Poni, Sardinien, Italy"
28074,"Lausen, Liestal, Baselland, Switzerland"
114,"Ellenbogen, Bohemia, Czechoslovakia"
116,"Beresowsk, Ural, Sibirien, USSR"
117,"Ural, USSR"
118,"Ilmengebirge, Ural, USSR"
119,"Kilimandjaro, Tanzania"
120,"Colorado, USA"
121,"Pikes Peak, Colorado, USA"
125,"Ouro Preto, Minas Gerais, Brazil"
126,"Nevada, USA"
127,"Lincoln, USA"
128,"Kisilia Area, Largido, Tanganjika, Tanzania"
129,"New Castle, Delaware, USA"
131,"Küste Labrador, Canada"
132,"Ontario, USA"
134,"Monte Somma, Vesuv, Campania,  Italy"
135,"Bonn, Germany"
136,"Monte Somma, Vesuv, Italy"
137,"Drachenfels near Bonn, Germany"
139,"Dürenberg im Habichtswald, Kassel, Germany"
141,"Laacher See, Eifel, Rheinland, Germany"
142,"Mariposa County, California, USA"
143,"Guanajuato, Mexico"
145,"Zillertal, Tirol, Austria"
146,"Mangalou, Ostindien"
147,Sri Lanka
148,Tirol (Italy od. Austria)
149,"Pfitsch, Tirol, Austria"
150,"Predo, Italy"
151,"Monte Amiata, Grosseto, Italy"
152,"Fischbach, Silesia, Poland"
153,"Striegau, Silesia, Poland"
154,"Oisans, Dauphiné, France"
156,"Sobotin near Sunderk, Czechoslovakia"
157,"Rauris, Salzburg, Austria"
158,"Cava Tremenico, Italy"
159,"Baveno, Verbano-Cusio-Ossola, Italy"
160,"Schmirn, Tirol, Austria"
161,"Pfitschtal, Tirol, Austria"
167,"Warnas, Norway"
168,"Ytterby, Sweden"
169,"Stockholm, Sweden"
172,Canada
174,"Passau, Bavaria, Germany"
175,"Murschinsk, Ural, USSR"
176,"Bodenmais, Bavaria, Germany"
177,"Agat Mts., Esterel, France"
179,"Ojamo Lojo, Finland"
180,"Island Frederiksvärn, Norway"
184,Greenland
185,"Monte Monzoni, Fassatal, Tirol, Italy"
187,"Pesmeda, Fassa, Tirol, Italy"
188,"Monzoniberg, Fassatal, Tirol, Italy"
190,"Vesuv, Italy"
192,"Miake Shima, Japan"
198,"Parola, Lojo, Finland"
199,Sweden
201,"Martillo, Lojo, Finland"
203,"Orrijärvi, Finland"
204,"Warlietz, Fichtelgebirge, Bavaria, Germany"
205,"Wiesental, Erzgebirge, Czechoslovakia"
207,"Sommaval, Atrio del Cavallo, Italy"
213,"Cognioli di Trocchia, Monte Somma, Vesuv, Italy"
215,"Lava des Monte Somma, Vesuv, Italy"
216,"Monte Cavo, Rocca di Papa, Italy"
218,"Colli Albani near Rom, Italy"
220,"Miask, Ilmengebirge, Ural, Russia"
221,"Capo di Bove, Via Appia, Rom, Italy"
223,"Katzenwinkel, Baden, Germany"
224,"Meiches im Vogelsgebirge, Hesse, Germany"
226,"Ilmengebirge, Ural, Russia"
227,"Lichfield, Maine, USA"
234,"Cava Inglese, Vesuv, Italy (Lava 1631)"
235,"Cava Inglese, Vesuv, Italy"
236,"Torre d. Greco, Vesuv, Italy"
240,"Salem Harbour, Massachusetts, USA"
46771,"Campolungo, Prato (Leventina), Ticino, Switzerland"
46775,"Pizzo Forno, Chironico, Ticino, Switzerland"
46776,"Val Canaria, Airolo, Ticino, Switzerland"
46777,"Lodrino, Ticino, Switzerland"
46779,"Nufenen, Valais, Switzerland"
46780,"Dazio Grande, Prato (Leventina), Ticino, Switzerland"
46781,"Simplon-Eisenbahntunnel II, Valais, Switzerland"
46782,"Simplon-Eisenbahntunnel I, Valais, Switzerland"
46783,"Simplon-Eisenbahntunnel II, Trasquera, Verbano-Cusio-Ossola, Italy"
47183,"N'Chwaning II Mine, Kalahari, Nördliche Cape-Provinz, South Africa"
47184,"Erl, Furggbach, Mund, Valais, Switzerland"
47185,"Ambatovita, Nandrosonoro, Fianarantsoa Province, Madagascar"
47186,"Reutlingen, Baden-Württemberg, Germany"
47187,"Mine Gottesehre, Urberg, St. Blasien, Waldshut, Baden-Württemberg, Germany"
47188,"Montesclaros, Itacambira, Minas Gerais, Brazil"
47189,"Taffs Well Quarry, Tongwynlais, Cardiff, Wales"
47190,"Mine Fianel, Ausserferrera, Grisons, Switzerland"
47191,"Hiuan, Huangchang, China"
47192,"Roure, Puy-de-Dôme, Auvergne (Massif Central), France"
47193,"Ramsley Mine, Sticklepath, Okehampton District, Devon, England"
47194,"Block and Brady One Pit, Red River Floodway, Winnipeg, Manitoba, Ontario, Canada"
47195,"Hunza-Tal, Pakistan"
47196,"Goboboseb Mountain, Uis-Distrikt, Erongo, Namibia"
47197,"Jinkouhe, Sichuan, China"
47198,"Mibladen, Morocco"
47201,"Morrison Formation, Grand County, Utah, USA"
47202,"Mine de La Creusaz, Les Marécottes, Salvan, Valais, Switzerland"
47206,"Baccu Locci Mine, Villaputzu, Province Cagliari, Sardinien, Italy"
47207,"Tierra Amarilla, Copiapo, Atacama, Chile"
46313,"Santa Cruz de Herdola, Barcelona, Spain"
46314,"Pipjigletscher, Oberems, Valais, Switzerland"
46315,Mexico
46317,"Salzbergwerk Stetten, Haigerloch, Baden-Württemberg, Germany"
46318,"Küttigen, Aargau, Switzerland"
15106,"Harz, Germany"
15107,"Laurion, Greece"
15108,"Nertschinsk, Ural, Sibirien, USSR"
15109,"Chessy near Lyon, France"
15110,"Raibl, Kärnten, Austria"
15111,"Steiermark, Austria"
15112,"Eisenerz, Steiermark, Austria"
15117,"Rheinbreitenbach südl. Bonn, Germany"
15118,"Alp Scarpiola, Medels im Rheinwald, Grisons, Switzerland"
15119,"Krunkelbachtal, Menzenschwand, St. Blasien, Waldshut, Baden-Württemberg, Germany"
15120,"Garo, Colorado, USA"
15121,"Wölsendorf, Oberpfalz, Germany"
15122,"Hamburg, Germany"
15124,"Riechelsdorf, Hesse, Germany"
15125,"Schneeberg, Hesse, Germany"
15126,"Bieber, Hesse, Germany"
15129,"Auerbach, Oberpfalz, Germany"
15130,"Mount Widdern, Victoria, Australia"
15131,"Yuma County, Arizona, USA"
28071,"Quarry Kleinkembs, Baden, Germany"
28072,"Val Giumella, Tirol, Italy"
28073,"Mainzerbecken, Germany"
1,"Hinderi Wase (Hinterwasen, beim Fieschergletscher), Fieschertal, Valais, Switzerland"
12,"Nyons near Montélimar, Drôme, France"
14,"San Luis Potosi, Mexico"
15,"Lynch Station, Virginia, USA"
16,"Lake Katwe (Lake Edward), Uganda"
18,"Mina Asturietta, Eugui, Navarra, Spain"
27,"Figgerscha, Binn, Valais, Switzerland"
28,"Rhonegletscher, Oberwald, Valais, Switzerland"
29,"Minas Gerais, Brazil"
30,"Durango, Mexico"
31,"Mapimi, Durango, Mexico"
32,"Gabbs, Nevada, USA"
34,"Crapteig, Thusis, Grisons, Switzerland"
35,"Val da Dusch, Paspels, Grisons, Switzerland"
36,"Mine Herznach, Herznach, Aargau, Switzerland"
37,"Baja Sprie, Romania (Felsöbanya, Hungary)"
38,"Cruzeiro-Mine, Minas Gerais, Brazil"
39,"Tsumeb, Namibia"
40,"Altenberg, Germany"
43,"Fichtelgebirge, Bavaria, Germany"
45,"Fichtel (-gebirge, Bavaria), Germany"
48,"Ochsenkopf, Fichtelgebirge, Bavaria, Germany"
