mineral_name,strunz_number
Azurite,05.BA.05
Aragonite,05.AB.15
Rutile,04.DB.05
Quartz,04.DA.05
Quartz,04.DA.05
Spodumène,09.DA.30
Spodumène,09.DA.30
Chrysobéryl,04.BA.05
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Graphite,01.CB.05a
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Calcédoine,
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soufre,01.CC.05
Soddyite,09.AK.05
Kasolite,09.AK.15
Cuprosklodowskite,09.AK.10
Torbernite,08.EB.05
Vandenbrandéite,04.GB.45
Manganite,04.FD.15
Cinabre,02.CD.15a
Cinabre,02.CD.15a
Sidérite,05.AB.05
Molybdénite,02.EA.30
Nickéline,02.CC.05
Arsénopyrite,02.EB.20
Bornite,02.BA.10
Fluorite,03.AB.25
Piémontite,09.BG.05a
Hématite,04.CB.05
Pyromorphite,08.BN.05
Olivenite,08.BB.30
Cuivre,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Pyrargyrite,02.GA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Stibnite,02.DB.05a
Stibnite,02.DB.05a
Freibergite,02.GB.05
Pyrargyrite,02.GA.05
Antimoine,01.CA.05
Stephanite,02.GB.10
Stibnite,02.DB.05a
Argent,01.AA.05
Arsénopyrite,02.EB.20
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Réalgar,02.FA.15a
Arsenic,01.CA.05
Sylvanite,02.EA.05
