irn	collection_name	catalog_number	measurement_type	measurement_value	measurement_unit	mineral_name_1	mineral_name_2	mineral_name_3	mineral_name_4	mineral_name_5	country	first_order_division	second_order_division	cataloged_name	variety_name_1	variety_name_2	variety_name_3	variety_name_4
599506	Mineralogy & Meteoritics	MIN.052034	length	13.7	centimeters	Chrysoberyl	Garnet				USA	Connecticut	Middlesex County	Chrysoberyl				
603830	Mineralogy & Meteoritics	MIN.058343	length	9.0	centimeters	Beryl	Tourmaline	Muscovite	Quartz		USA	Connecticut	Middlesex County	Beryl				
2235628	Mineralogy & Meteoritics	MIN.101311	width	9.7	centimeters	Clinohedrite	Hardystonite	Willemite	Andradite		USA	New Jersey	Sussex County	Clinohedrite				
2235846	Mineralogy & Meteoritics	MIN.101529	width	8.8	centimeters	Margarosanite	Willemite	Andradite	Franklinite		USA	New Jersey	Sussex County	Margarosanite				
2235961	Mineralogy & Meteoritics	MIN.101644	width	11.6	centimeters	Hardystonite	Willemite	Calcite	Franklinite		USA	New Jersey	Sussex County	Hardystonite				
2235662	Mineralogy & Meteoritics	MIN.101345	length	25	centimeters	Tugtupite	Polylithionite	Analcime	Lujavrite		Denmark	Greenland	Kujalleq Municipality	Tugtupite				
2235909	Mineralogy & Meteoritics	MIN.101592	width	14.0	centimeters	Chkalovite	Tugtupite	Beryllite			Denmark	Greenland		Chkalovite				
2508737	Mineralogy & Meteoritics	MIN.104124	width	21.8	centimeters	Grossular	Diopside	Scheelite	Calcite		USA	Connecticut	Fairfield County	Grossular				
588333	Mineralogy & Meteoritics	MIN.026931	length	12.0	centimeters	Stilbite	Quartz				USA	Connecticut	Litchfield County	Stilbite				
2516355	Mineralogy & Meteoritics	MIN.104130	weight	3.98	grams	Bavenite	Calcite	Chlorite	Fluorite		USA	Connecticut	Fairfield County	Bavenite				
2516551	Mineralogy & Meteoritics	MIN.104138	weight	69.0	grams	Sphalerite	Hemimorphite	Galena	Quartz		USA	Connecticut	Litchfield County	Sphalerite				
2516552	Mineralogy & Meteoritics	MIN.104139	weight	58.2	grams	Hemimorphite	Sphalerite	Quartz	Quartz		USA	Connecticut	Litchfield County	Hemimorphite				
