id	is_part_of	material_category	cataloged_name	authoritative_name	verbatim_name	collection_code	institution_code	country	first_order_division	second_order_division
MIN.052034		Mineral	Chrysoberyl	Chrysoberyl		DEMO-C	DEMO	USA	Connecticut	Middlesex County
	MIN.052034	Mineral		Chrysoberyl		DEMO-C	DEMO			
	MIN.052034	Mineral		Garnet		DEMO-C	DEMO			
MIN.058343		Mineral	Beryl	Beryl		DEMO-C	DEMO	USA	Connecticut	Middlesex County
	MIN.058343	Mineral		Beryl		DEMO-C	DEMO			
	MIN.058343	Mineral		Tourmaline		DEMO-C	DEMO			
	MIN.058343	Mineral		Muscovite		DEMO-C	DEMO			
	MIN.058343	Mineral		Quartz		DEMO-C	DEMO			
MIN.101311		Mineral	Clinohedrite	Clinohedrite		DEMO-C	DEMO	USA	New Jersey	Sussex County
	MIN.101311	Mineral		Clinohedrite		DEMO-C	DEMO			
	MIN.101311	Mineral		Hardystonite		DEMO-C	DEMO			
	MIN.101311	Mineral		Willemite		DEMO-C	DEMO			
	MIN.101311	Mineral		Andradite		DEMO-C	DEMO			
MIN.101529		Mineral	Margarosanite	Margarosanite		DEMO-C	DEMO	USA	New Jersey	Sussex County
	MIN.101529	Mineral		Margarosanite		DEMO-C	DEMO			
	MIN.101529	Mineral		Willemite		DEMO-C	DEMO			
	MIN.101529	Mineral		Andradite		DEMO-C	DEMO			
	MIN.101529	Mineral		Franklinite		DEMO-C	DEMO			
MIN.101644		Mineral	Hardystonite	Hardystonite		DEMO-C	DEMO	USA	New Jersey	Sussex County
	MIN.101644	Mineral		Hardystonite		DEMO-C	DEMO			
	MIN.101644	Mineral		Willemite		DEMO-C	DEMO			
	MIN.101644	Mineral		Calcite		DEMO-C	DEMO			
	MIN.101644	Mineral		Franklinite		DEMO-C	DEMO			
MIN.101345		Mineral	Tugtupite	Tugtupite		DEMO-C	DEMO	Denmark	Greenland	Kujalleq Municipality
	MIN.101345	Mineral		Tugtupite		DEMO-C	DEMO			
	MIN.101345	Mineral		Polylithionite		DEMO-C	DEMO			
	MIN.101345	Mineral		Analcime		DEMO-C	DEMO			
	MIN.101345	Rock		Lujavrite		DEMO-C	DEMO			
MIN.101592		Mineral	Chkalovite	Chkalovite		DEMO-C	DEMO	Denmark	Greenland	
	MIN.101592	Mineral		Chkalovite		DEMO-C	DEMO			
	MIN.101592	Mineral		Tugtupite		DEMO-C	DEMO			
	MIN.101592	Mineral		Beryllite		DEMO-C	DEMO			
MIN.104124		Mineral	Grossular	Grossular		DEMO-C	DEMO	USA	Connecticut	Fairfield County
	MIN.104124	Mineral		Grossular		DEMO-C	DEMO			
	MIN.104124	Mineral		Diopside		DEMO-C	DEMO			
	MIN.104124	Mineral		Scheelite		DEMO-C	DEMO			
	MIN.104124	Mineral		Calcite		DEMO-C	DEMO			
MIN.026931		Mineral	Stilbite	Stilbite		DEMO-C	DEMO	USA	Connecticut	Litchfield County
	MIN.026931	Mineral		Stilbite		DEMO-C	DEMO			
	MIN.026931	Mineral		Quartz		DEMO-C	DEMO			
MIN.104130		Mineral	Bavenite	Bavenite		DEMO-C	DEMO	USA	Connecticut	Fairfield County
	MIN.104130	Mineral		Bavenite		DEMO-C	DEMO			
	MIN.104130	Mineral		Calcite		DEMO-C	DEMO			
	MIN.104130	Mineral		Chlorite		DEMO-C	DEMO			
	MIN.104130	Mineral		Fluorite		DEMO-C	DEMO			
MIN.104138		Mineral	Sphalerite	Sphalerite		DEMO-C	DEMO	USA	Connecticut	Litchfield County
	MIN.104138	Mineral		Sphalerite		DEMO-C	DEMO			
	MIN.104138	Mineral		Hemimorphite		DEMO-C	DEMO			
