catalog_number,is_part_of,material_category,cataloged_name,authoritative_name,country_name,first_order_division
38622,,Ore,Schwermineralkonzentrat,,Schweiz,Wallis
,38622,Mineral,,Blei,,
,38622,Mineral,,Pyrit,,
,38622,Mineral,,Eisen,,
,38622,Ore,,Schwermineralkonzentrat,,
,38622,Mineral,,Kupfer,,
,38622,Mineral,,Magnetit,,
40428,,,Pyrit,Pyrit,Vereinigte Staaten von Amerika (USA),Missouri
,40428,Rock,,Dolomit,,
,40428,Mineral,,Pyrit,,
,40428,Ore,,Cu-Ni-Sulfid-Erz - MVT,,
,40428,Mineral,,Chalkopyrit,,
,40428,Mineral,,Siegenit,,
27758,,Ore,U-Erz - Gang-Typ allgemein,,Deutschland,Hessen
,27758,Ore,,U-Erz - Gang-Typ allgemein,,
,27758,Mineral,,Chalkopyrit,,
,27758,Mineral,,Pyrit,,
,27758,Mineral,,Bornit,,
,27758,Mineral,,Coffinit,,
,27758,Mineral,,Uraninit,,
34375,,,Epidot,Epidot,Schweiz,Uri
,34375,Mineral,,Biotit,,
,34375,Rock,,Granit,,
,34375,Mineral,,Pyrit,,
,34375,Mineral,,Epidot,,
18224,,Rock,Silt,,Oesterreich,Salzburg
,18224,Rock,,Silt,,
,18224,Mineral,,Muskovit,,
,18224,Mineral,,Quarz,,
,18224,Mineral,,Illit Goethit,,
39172,,Ore,Reduktionshof,,Schweiz,Zürich
,39172,Mineral,,Pechblende,,
,39172,Mineral,,Uraninit,,
,39172,Ore,,Reduktionshof,,
,39172,Mineral,,Roscoelith,,
39986,,,Limonit,Limonit,Deutschland,Thüringen
,39986,Mineral,,Limonit,,
,39986,Ore,,Fe-Erz limonitisch - Eiserner Hut,,
,39986,Mineral,,undef. Eisenhydroxid,,
41255,,,Bornit,Bornit,Peru,Lima
,41255,Mineral,,Bornit,,
,41255,Mineral,,Chalkopyrit,,
,41255,Ore,,Cu-Sulfid-Erz - Gang-Typ,,
40144,,,Quarz,Quarz,Australien,New South Wales
,40144,Mineral,,Chalcedon/Chert,,
,40144,Mineral,,Quarz,,
,40144,Rock,,Basalt s.l.,,
40320,,Ore,"Fe-Erz, pisolithisch",,Deutschland,Niedersachsen
,40320,Ore,,"Fe-Erz, pisolithisch",,
,40320,Mineral,,Goethit,,
38104,,,Gips,Gips,Schweiz,Waadt
,38104,Rock,,Gips,,
,38104,Mineral,,Gips,,
33981,,Rock,Granit,,Schweiz,Bern
,33981,Mineral,,Biotit,,
,33981,Rock,,Granit,,
42192,,,Cuprit,Cuprit,Peru,Lima
,42192,Ore,,Cu-Sulfid-Erz - zementativ,,
,42192,Mineral,,Cuprit,,
,42192,Mineral,,Malachit,,
8443,,Rock,Serpentinit,,Grossbritannien / Vereinigtes Königreich,England
,8443,Rock,,Serpentinit,,
,8443,Mineral,,Hämatit,,
,8443,Mineral,,Serpentin,,
41967,,,Halit,Halit,Schweiz,Waadt
,41967,Rock,,Gips,,
,41967,Mineral,,Halit,,
41540,,Ore,Pb-Zn-Sulfid-Erz - MVT,Pb-Zn-Sulfid-Erz - MVT,Polen,Małopolskie
,41540,Ore,,Pb-Zn-Sulfid-Erz - MVT,,
,41540,Mineral,,Sphalerit,,
,41540,Mineral,,Galenit,,
42312,,Rock,Grüngestein / Prasinit,,Schweiz,Graubünden
,42312,Mineral,,Quarz,,
,42312,Mineral,,Albit,,
,42312,Mineral,,Chlorit,,
,42312,Mineral,,Epidot,,
,42312,Rock,,Grüngestein / Prasinit,,
40943,,,Scheelit,Scheelit,Oesterreich,Salzburg
,40943,Mineral,,Scheelit,,
,40943,Ore,,Scheeliterz - metamorph,,
29286,,Rock,"Glimmerit, Amphibol-reich (Mantelgestein)",,Südafrika,Gauteng / Rhawuti
,29286,Mineral,,Kalium-Richterit,,
,29286,Rock,,"Glimmerit, Amphibol-reich (Mantelgestein)",,
,29286,Mineral,,Richterit,,
,29286,Mineral,,Phlogopit,,
42335,,Rock,Rodingit (Rhodingit),,Schweiz,Graubünden
,42335,Mineral,,Calcit,,
,42335,Mineral,,Grossular,,
,42335,Mineral,,Vesuvian (Vesuvianit),,
,42335,Rock,,Rodingit (Rhodingit),,
41668,,,Magnetit,Magnetit,Südafrika,Limpopo
,41668,Mineral,,Magnetit,,
,41668,Ore,,Fe-Erz magnetitisch - kontinental mafisch-magmatisch,,
42614,,,Piemontit,Piemontit,Italien,Valle d'Aosta / Val d'Aoste
,42614,Mineral,,Quarz,,
,42614,Mineral,,Piemontit,,
,42614,Mineral,,Braunit,,
,42614,Ore,,"Mn-Erz, silikatisch - metamorph",,
786,,,Nickelin,Nickelin,Schweiz,Wallis
,786,Mineral,,Rammelsbergit,,
,786,Mineral,,Nickelin,,
,786,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
53510,,Rock,Kalkstein - Travertin,,Marokko,Drâa-Tafilalet (Draa-Tafilalet)
,53510,Mineral,,Aragonit,,
,53510,Rock,,Kalkstein - Travertin,,
35702,,Rock,Glimmerschiefer,,Schweiz,Graubünden
,35702,Rock,,Glimmerschiefer,,
,35702,Mineral,,Sericit,,
,35702,Mineral,,Muskovit,,
,35702,Mineral,,Quarz,,
41539,,,Sphalerit,Sphalerit,Polen,Małopolskie
,41539,Mineral,,Galenit,,
,41539,Ore,,Pb-Zn-Sulfid-Erz - MVT,,
,41539,Mineral,,Sphalerit,,
40437,,,Chalkopyrit,Chalkopyrit,Vereinigte Staaten von Amerika (USA),Missouri
,40437,Mineral,,Galenit,,
,40437,Ore,,Cu-Pb-Sulfid-Erz - MVT,,
,40437,Mineral,,Chalkopyrit,,
6745,,,Bornit,Bornit,Schweiz,Glarus
,6745,Mineral,,Malachit,,
,6745,Mineral,,Bornit,,
,6745,Ore,,Cu-Sulfid-Erz - Redbed-Typ,,
34083,,,Albit,Albit,Schweiz,Uri
,34083,Mineral,,Adular,,
,34083,Mineral,,Orthoklas,,
,34083,Rock,,noch nicht angegeben,,
,34083,Mineral,,Albit,,
39731,,Ore,Fe-Erz magnetitisch - metamorph,,Schweiz,Graubünden
,39731,Mineral,,Magnetit,,
